text,label
Congratulations on your promotion! Well deserved.,0
Your UPI PIN will expire today. Verify by sending Rs 1 to payment@okaxis,1
You are selected for KBC prize of Rs 500. Call 8877665544 now,1
Sister's wedding urgent expense. Send Rs 1000: verify@paytm,1
Congratulations! Rs 1000 prize money. Processing fee Rs 50: urgent@oksbi,1
The package you ordered was delivered to your doorstep.,0
You have won Rs 25000 in Indian Idol lottery! Call 7766554433 to claim your prize.,1
Your internet bill for this month is Rs 25000.,0
Did you see the new update on the company portal about holidays?,0
"Gold investment scheme. Pay Rs 10000, get 25000 returns: http://tinyurl.com/xyz",1
MLM opportunity! Earn Rs 50000 monthly. Registration Rs 10000: urgent@oksbi,1
"I'll be late for the meeting, stuck in traffic near HSR Layout.",0
Your laptop repair is complete. You can pick it up anytime.,0
Your transaction of Rs 25000 at restaurant was successful.,0
Maa ko emergency hai. Jaldi 10000 bhejo: payment@okaxis,1
The meeting has been rescheduled to 8 PM. Please confirm.,0
"Bhai bike accident, hospital bill Rs 1000. Help: collect@okicici",1
Your transaction of Rs 25000 at grocery store was successful.,0
Your transaction of Rs 10000 at Amazon was successful.,0
Please review the attached document and share feedback.,0
Can you pick up groceries on your way home? Need milk and bread.,0
"Congratulations! You won Rs 50,000 cash in lucky draw. Claim at http://tinyurl.com/xyz",1
Traffic Police: Challan of Rs 25000 pending. Pay now: http://bit.ly/verify,1
Your Google Pay account verification code is 5834.,0
"Papa hospital mein hain, urgent 10000 chahiye. Send to urgent@oksbi",1
Reminder: Doctor's appointment on Friday at 3 PM.,0
PhonePe offer: Get Rs 5000 cashback. Send Re 1 to payment@okaxis to claim,1
Your UPI payment of Rs 10000 to restaurant is successful.,0
Your subscription has been renewed successfully. Thank you!,0
The weather looks good for the picnic on Sunday.,0
Your phone number won Laptop in Google draw. Contact 9123456789,1
"Beta, bahut emergency hai. 50000 bhej do is number pe: 9123456789",1
KBC Lottery winner! Rs 10000 credited. Verify at 9988776655,1
"Your Axis Bank debit card has been used for Rs 50000. If not you, call 7766554433",1
Reminder: Doctor's appointment on next week at 10 AM.,0
"Share market secret tips. Invest Rs 25000, profit guaranteed: 9876543210",1
Don't forget about the presentation tomorrow at 10 AM.,0
Your SBI account will be closed in 24 hours. Update KYC: http://tinyurl.com/xyz,1
Delivery on hold. Pay Rs 2000 re-delivery charges: 8877665544,1
Can you share the meeting notes from yesterday's call?,0
Thanks for attending the webinar. Here's the recording link.,0
MLM opportunity! Earn Rs 50000 monthly. Registration Rs 2000: collect@okicici,1
Reminder: Doctor's appointment on Monday at 6 PM.,0
Paytm mein 25000 rupay credited hain. Claim karo: help@ybl,1
Payment of Rs 2000 received. Thank you for your purchase.,0
RBI Notice: Your PAN card is not linked. Share OTP 8484 to avoid penalty,1
Forex trading signals. Earn Rs 50000 daily. Fee Rs 2000: help@ybl,1
Your ATM card is expired. Update details at http://bit.ly/verify to avoid account freeze,1
Your electricity connection will be cut in 2 hours. Pay pending bill now: http://sbi-verify.com,1
Income Tax Notice: Pay pending Rs 25000 tax immediately. Visit http://v.ht/pay,1
Kotak Alert: Unusual transaction detected. Verify OTP 8999 within 1 hour,1
See you at the gym tomorrow morning at 6 PM.,0
"Gold investment scheme. Pay Rs 5000, get 25000 returns: http://tinyurl.com/xyz",1
The match starts at 10 AM. Are you watching?,0
Urgent hiring for Customer Support at Flipkart. Registration fee Rs 25000. Contact 9988776655,1
Your application has been received. We'll get back to you soon.,0
Income Tax Notice: Pay pending Rs 1000 tax immediately. Visit http://sbi-verify.com,1
Thanks for your help yesterday. Really appreciate it!,0
Your mobile number will be blocked. Clear pending Rs 50000: 8877665544,1
KBC Lottery winner! Rs 1000 credited. Verify at 9123456789,1
Flipkart COD order. Pay Rs 50000 advance for delivery: verify@paytm,1
Your exam results have been published. Check the portal.,0
The team outing is planned for next Friday. Mark your calendar.,0
You have won Rs 500 in Kaun Banega Crorepati lottery! Call 9988776655 to claim your prize.,1
Congratulations! Rs 2000 added to your account. Withdraw at urgent@oksbi,1
Your order has been shipped and will arrive by Tuesday.,0
You are selected for Software Engineer role. Pay Rs 5000 training fee: collect@okicici,1
The event starts at 10 AM. Don't be late!,0
Thanks for attending the webinar. Here's the recording link.,0
Delivery on hold. Pay Rs 50000 re-delivery charges: 9876543210,1
The match starts at 5:30 PM. Are you watching?,0
MLM opportunity! Earn Rs 10000 monthly. Registration Rs 50000: verify@paytm,1
Paytm KYC pending. Send Rs 1 to collect@okicici to activate full wallet,1
Your phone number won iPhone 15 in Wipro draw. Contact 9123456789,1
International courier delivery. Customs fee Rs 25000: 9988776655,1
Did you see the new update on the company portal about holidays?,0
Traffic Police: Challan of Rs 1000 pending. Pay now: http://v.ht/pay,1
Google Pay: Your one-time password is 4648. Do not share.,0
Your exam results have been published. Check the portal.,0
RBI Alert: Your account will be suspended. Share OTP to reactivate: 7819,1
Did you finish watching that series? No spoilers please!,0
Remote job at Infosys. Send Rs 50000 for offer letter: verify@paytm,1
The client liked our proposal. Great work team!,0
Part-time job opportunity! Earn Rs 50000 per week. Send resume to 8877665544,1
Lunch at the usual place? I'll be there by 5:30 PM.,0
"Dear customer, your debit card is blocked. Click http://sbi-verify.com to unlock.",1
Congratulations! Rs 25000 prize money. Processing fee Rs 50: collect@okicici,1
Your friend had an accident. Send Rs 500 for treatment: urgent@oksbi,1
Did you see the new update on the company portal about holidays?,0
The package you ordered was delivered to your doorstep.,0
Please send the project report by Monday morning. Thanks!,0
Your train ticket from Bangalore to Chennai is confirmed.,0
The party is at Rahul's place at 8 PM. See you there!,0
Send 1 rupee to verify your UPI: help@ybl,1
Salary nahi aayi? HR se contact karo 9876543210 pe,1
Part-time job opportunity! Earn Rs 500 per week. Send resume to 9123456789,1
Your exam results have been published. Check the portal.,0
The package you ordered was delivered to your doorstep.,0
The party is at Anjali's place at 7 PM. See you there!,0
Flipkart: Your one-time password is 1683. Do not share.,0
